T,P,L,S,M,T,P,L,S,M,T,P,L,S,M
55,30,23,42,24550,50,27,22,45,24544,38,33,23,45,24535
97,25,22,44,24590,50,27,22,45,24544,83,28,22,43,24577
141,32,21,45,24637,139,26,20,43,24632,126,32,21,43,24622
186,26,20,44,24679,139,26,20,43,24632,169,29,20,44,24664
230,35,19,47,24728,228,30,18,45,24723,213,33,19,47,24710
277,32,18,43,24773,273,31,17,46,24769,260,32,18,44,24756
320,33,17,45,24817,319,30,16,44,24814,304,33,17,46,24801
365,28,16,44,24859,363,30,15,43,24858,350,30,16,43,24845
409,33,15,42,24906,406,28,14,48,24900,393,32,15,42,24889
451,22,14,56,24942,406,28,14,48,24900,435,31,14,64,24931
507,63,13,59,25019,503,28,12,59,24997,499,69,13,129,25014
566,25,12,49,25059,503,28,12,59,24997,499,69,13,129,25014
615,43,11,103,25117,619,22,10,43,25110,499,69,13,129,25014
718,131,10,103,25264,758,36,7,48,25256,735,30,11,67,25230
821,46,9,67,25324,806,27,6,53,25300,802,81,10,73,25323
888,64,8,59,25400,859,44,5,58,25361,875,40,9,62,25375
947,27,7,46,25441,917,40,4,57,25417,875,40,9,62,25375
993,37,6,59,25492,974,41,3,326,25475,937,58,8,65,25446
1052,49,5,62,25557,974,41,3,326,25475,1054,34,6,51,25551
1114,47,4,57,25618,974,41,3,326,25475,1105,41,5,55,25606
1171,41,3,73,25672,974,41,3,326,25475,1160,49,4,62,25665
1244,74,2,87,25761,974,41,3,326,25475,1222,46,3,79,25725
1331,69,1,68,25846,1343,29,1,73,25838,1301,85,2,74,25824
1399,38,0,50,25898,1343,29,1,73,25838,1375,34,1,52,25872
9,37,26,49,25948,1416,89,0,78,25941,1427,43,0,51,25929
58,31,25,50,25994,54,34,18,77,25991,38,33,16,53,25975
108,40,24,51,26048,54,34,18,77,25991,91,47,15,52,26035
159,37,23,48,26098,131,87,17,72,26095,143,31,14,45,26079
207,30,22,46,26142,203,27,16,43,26137,188,34,13,46,26125
253,35,21,48,26191,246,29,15,48,26181,234,32,12,47,26170
301,30,20,51,26236,294,34,14,54,26231,281,37,11,49,26220
352,46,19,50,26295,348,43,13,51,26290,330,34,10,50,26267
402,29,18,46,26337,399,27,12,44,26333,380,41,9,48,26321
448,36,17,49,26386,443,31,11,48,26379,428,29,8,41,26363
497,36,16,62,26435,491,33,10,46,26428,469,25,7,63,26402
559,61,15,61,26510,537,25,9,53,26470,532,75,6,78,26490
620,32,14,55,26556,590,49,8,100,26535,532,75,6,78,26490
675,46,13,62,26618,590,49,8,100,26535,668,36,4,57,26606
737,50,12,55,26682,690,120,7,93,26670,725,52,3,79,26671
792,30,11,41,26727,783,42,6,88,26724,725,52,3,79,26671
833,25,10,72,26766,783,42,6,88,26724,804,81,2,74,26765
905,88,9,72,26869,871,105,5,92,26844,929,27,0,737,26863
977,27,8,40,26911,963,46,4,117,26906,929,27,0,737,26863
1017,24,7,41,26949,963,46,4,117,26906,929,27,0,737,26863
1058,30,6,45,26993,963,46,4,117,26906,929,27,0,737,26863
1103,33,5,54,27040,963,46,4,117,26906,929,27,0,737,26863
1157,45,4,59,27100,1080,160,3,145,27080,929,27,0,737,26863
1216,44,3,61,27158,1080,160,3,145,27080,929,27,0,737,26863
1277,47,2,61,27221,1225,99,2,112,27195,929,27,0,737,26863
1338,43,1,61,27280,1225,99,2,112,27195,929,27,0,737,26863
1399,45,0,47,27342,1337,91,1,81,27303,929,27,0,737,26863
6,28,15,50,27380,1418,40,0,93,27358,929,27,0,737,26863
56,44,14,61,27438,1418,40,0,93,27358,929,27,0,737,26863
117,46,13,68,27500,71,114,19,84,27488,929,27,0,737,26863
185,60,12,61,27575,198,28,17,45,27572,929,27,0,737,26863
246,35,11,56,27624,243,33,16,56,27620,226,55,21,56,27614
302,48,10,71,27686,299,50,15,59,27684,282,28,20,51,27656
373,66,9,64,27766,358,38,14,62,27737,333,44,19,66,27715
437,30,8,57,27812,420,54,13,67,27807,399,61,18,62,27790
494,62,7,83,27885,487,53,12,66,27874,461,33,17,61,27838
577,72,6,66,27973,553,49,11,293,27938,585,43,15,54,27967
643,29,5,58,28018,553,49,11,293,27938,585,43,15,54,27967
701,55,4,64,28089,553,49,11,293,27938,692,41,13,59,28073
765,41,3,55,28146,553,49,11,293,27938,751,51,12,58,28137
820,41,2,52,28201,553,49,11,293,27938,809,39,11,54,28189
872,35,1,535,28250,846,42,10,77,28227,863,43,10,54,28245
1407,23,0,51,28779,1390,41,0,50,28771,1340,71,1,96,28736
18,50,22,68,28843,0,21,25,52,28811,1436,88,0,79,28840
86,55,21,63,28914,52,47,24,63,28876,75,43,24,61,28897
149,41,20,51,28970,115,44,23,57,28937,136,50,23,57,28961
200,28,19,45,29014,172,34,22,50,28989,193,39,22,48,29013
245,34,18,52,29062,222,36,21,80,29040,241,26,21,50,29054
297,39,17,60,29117,222,36,21,80,29040,291,47,20,53,29115
357,49,16,59,29182,302,88,20,77,29146,344,33,19,50,29161
416,36,15,45,29234,379,34,19,43,29196,394,39,18,53,29214
461,29,14,43,29276,422,23,18,46,29234,447,38,17,50,29266
504,34,13,44,29321,468,35,17,59,29286,497,34,16,62,29314
548,29,12,46,29363,527,51,16,59,29353,497,34,16,62,29314
594,36,11,49,29412,586,39,15,54,29406,559,64,15,64,29391
643,32,10,52,29459,640,28,14,43,29454,623,30,14,61,29438
695,42,9,51,29516,683,25,13,43,29496,684,60,13,59,29514
746,31,8,45,29562,726,28,12,70,29540,743,33,12,48,29560
791,34,7,51,29608,726,28,12,70,29540,743,33,12,48,29560
842,40,6,63,29662,796,79,11,87,29636,837,34,10,42,29654
905,59,5,73,29735,883,62,10,63,29714,879,36,9,46,29697
978,56,4,272,29806,946,39,9,48,29766,966,26,7,53,29779
1250,41,3,50,30071,1240,48,3,57,30064,1231,41,2,78,30052
1300,29,2,51,30115,1297,34,2,48,30114,1231,41,2,78,30052
1351,39,1,49,30171,1345,35,1,50,30163,1309,90,1,73,30154
1400,30,0,49,30215,1395,35,0,50,30213,1382,31,0,46,30198
9,38,25,52,30268,5,33,25,51,30262,1428,35,25,51,30246
61,38,24,45,30320,56,36,24,47,30314,39,38,24,49,30298
106,29,23,45,30361,103,29,23,45,30358,88,33,23,45,30345
151,28,22,49,30405,148,32,22,42,30404,133,31,22,57,30389
200,40,21,60,30460,190,25,21,41,30443,190,54,21,56,30457
260,48,20,55,30524,231,28,20,64,30485,246,32,20,45,30502
315,32,19,47,30571,295,70,19,66,30570,291,39,19,53,30551
362,32,18,50,30618,361,30,18,49,30616,344,40,18,49,30604
412,42,17,64,30673,410,39,17,52,30670,393,31,17,53,30649
476,61,16,73,30747,462,32,16,69,30718,446,48,16,53,30710
549,49,15,62,30814,531,74,15,73,30808,499,30,15,105,30754
611,40,14,89,30871,604,38,14,63,30863,499,30,15,105,30754
700,106,13,86,30993,667,59,13,65,30937,711,29,13,51,30966
786,34,12,46,31043,782,30,11,45,31037,762,47,12,55,31026
832,29,11,49,31087,827,31,10,71,31083,817,34,11,47,31074
881,39,10,43,31141,827,31,10,71,31083,864,33,10,44,31121
924,27,9,46,31178,827,31,10,71,31083,908,29,9,45,31163
970,37,8,64,31229,898,79,9,75,31178,953,32,8,46,31209
1034,62,7,57,31305,1022,32,7,50,31278,1043,31,6,60,31299
1091,24,6,53,31343,1072,39,6,63,31332,1043,31,6,60,31299
1144,55,5,58,31412,1135,56,5,62,31403,1103,61,5,71,31374
1202,31,4,50,31458,1197,37,4,49,31456,1174,52,4,58,31440
1252,38,3,50,31511,1246,29,3,47,31501,1232,39,3,49,31492
1302,32,2,67,31558,1293,32,2,54,31549,1281,33,2,50,31538
1369,71,1,68,31645,1347,42,1,61,31608,1385,38,0,48,31644
1437,35,0,47,31695,1408,50,0,56,31673,1433,30,28,46,31688
44,30,22,46,31739,24,30,21,55,31719,39,37,27,43,31738
90,34,21,44,31787,79,49,20,53,31784,82,23,26,60,31774
134,25,20,42,31827,132,24,19,42,31824,82,23,26,60,31774
176,30,19,48,31871,174,30,18,48,31869,142,68,25,66,31856
224,38,18,96,31923,222,32,17,50,31918,208,38,24,49,31907
320,128,17,96,32064,367,30,14,44,32062,353,29,21,46,32048
416,37,16,52,32115,411,29,13,46,32106,399,34,20,49,32096
468,40,15,125,32168,457,30,12,55,32152,448,40,19,56,32148
593,179,14,117,32363,569,28,10,291,32263,640,34,15,54,32337
710,25,13,43,32403,569,28,10,291,32263,694,47,14,50,32398
753,28,12,50,32447,569,28,10,291,32263,744,26,13,40,32437
803,38,11,63,32502,569,28,10,291,32263,784,27,12,51,32478
866,57,10,68,32575,860,61,9,60,32571,835,47,11,74,32539
934,50,9,54,32639,920,27,8,47,32614,909,77,10,73,32628
988,31,8,48,32684,967,35,7,49,32665,982,39,9,53,32682
1036,31,7,45,32732,1016,31,6,48,32712,982,39,9,53,32682
1081,30,6,46,32776,1064,30,5,46,32759,1077,33,7,49,32774
1127,34,5,42,32824,1110,31,4,48,32806,1077,33,7,49,32774
1169,25,4,44,32862,1158,33,3,105,32855,1126,35,6,48,32824
1213,33,3,45,32910,1158,33,3,105,32855,1174,35,5,47,32872
1258,26,2,51,32951,1158,33,3,105,32855,1221,30,4,42,32916
1309,46,1,60,33012,1158,33,3,105,32855,1304,24,2,48,32996
1369,44,0,78,33071,1357,33,1,48,33054,1352,42,1,58,33053
7,80,22,68,33167,1405,33,0,104,33102,22,28,23,84,33156
75,27,21,92,33209,1405,33,0,104,33102,22,28,23,84,33156
167,129,20,104,33352,176,40,23,60,33316,106,110,22,98,33281
271,47,19,64,33415,236,53,22,73,33383,266,43,20,70,33408
335,50,18,65,33480,309,67,21,69,33463,266,43,20,70,33408
400,49,17,84,33545,378,43,20,57,33520,336,66,19,70,33489
484,87,16,89,33648,490,37,18,48,33629,502,33,16,54,33639
573,60,15,63,33723,581,26,16,49,33714,556,51,15,57,33702
636,32,14,43,33772,630,42,15,61,33771,613,36,14,48,33751
679,25,13,49,33812,630,42,15,61,33771,661,34,13,55,33798
728,38,12,49,33867,691,53,14,62,33838,716,48,12,87,33860
777,31,11,64,33913,753,42,13,55,33894,716,48,12,87,33860
841,66,10,62,33994,808,40,12,72,33948,803,98,11,80,33972
903,31,9,47,34039,880,75,11,68,34038,883,36,10,48,34021
950,31,8,48,34086,948,29,10,47,34083,931,35,9,48,34069
998,32,7,48,34134,948,29,10,47,34083,979,33,8,48,34116
1046,33,6,48,34183,1043,30,8,47,34178,1027,36,7,69,34165
1094,33,5,42,34231,1090,34,7,43,34227,1027,36,7,69,34165
1136,30,4,72,34271,1133,27,6,44,34267,1096,77,6,67,34255
1208,83,3,72,34370,1225,42,4,53,34366,1207,32,4,50,34343
1280,31,2,55,34416,1278,32,3,50,34414,1257,38,3,53,34396
1335,47,1,56,34479,1328,40,2,55,34468,1310,38,2,55,34449
1391,34,0,45,34528,1383,40,1,50,34523,1365,43,1,51,34507
1436,29,24,44,34571,1433,32,0,45,34569,1416,38,0,48,34555
40,32,23,53,34616,38,28,26,41,34612,24,31,24,62,34600
93,45,22,56,34676,79,22,25,47,34650,24,31,24,62,34600
149,35,21,49,34727,126,40,24,51,34706,86,62,23,64,34677
198,28,20,46,34772,177,32,23,46,34753,150,40,22,49,34730
244,33,19,49,34821,223,35,22,47,34801,242,29,20,48,34817
293,25,18,43,34866,270,31,21,47,34846,242,29,20,48,34817
336,30,17,50,34911,317,35,20,44,34895,336,25,18,49,34909
386,38,16,48,34965,361,27,19,49,34935,336,25,18,49,34909
434,28,15,65,35008,410,45,18,51,34993,385,42,17,49,34966
499,67,14,101,35093,500,26,16,49,35073,513,34,14,116,35090
600,106,13,95,35213,600,31,14,64,35176,513,34,14,116,35090
695,55,12,72,35283,664,68,13,69,35258,629,173,13,122,35276
767,59,11,73,35357,779,27,11,44,35353,751,42,12,56,35332
840,57,10,58,35429,823,33,10,55,35400,807,43,11,48,35389
898,28,9,46,35472,878,49,9,59,35463,855,28,10,56,35429
944,37,8,54,35523,937,38,8,56,35516,911,61,9,62,35502
998,40,7,51,35578,937,38,8,56,35516,973,34,8,52,35550
1049,35,6,46,35627,1044,28,6,47,35618,1025,42,7,50,35606
1095,29,5,47,35670,1044,28,6,47,35618,1075,34,6,46,35652
1142,34,4,53,35719,1091,38,5,50,35670,1121,30,5,49,35696
1195,44,3,72,35777,1188,32,3,57,35764,1170,41,4,57,35751
1267,69,2,69,35862,1245,58,2,65,35834,1280,34,2,51,35857
1336,36,1,50,35914,1310,45,1,54,35893,1331,40,1,52,35911
1386,33,0,76,35963,1364,33,0,78,35941,1383,37,0,52,35962
22,87,25,80,36066,2,92,23,75,36048,1435,40,24,52,36015
102,42,24,54,36123,77,30,22,49,36092,95,34,22,50,36112
156,38,23,48,36175,126,38,21,76,36145,145,42,21,73,36166
204,29,22,44,36219,126,38,21,76,36145,145,42,21,73,36166
248,28,21,46,36262,202,84,20,75,36244,218,78,20,70,36257
294,37,20,55,36313,277,36,19,49,36295,288,39,19,56,36308
349,42,19,49,36370,326,33,18,58,36343,344,42,18,81,36365
398,25,18,69,36411,326,33,18,58,36343,344,42,18,81,36365
467,81,17,76,36508,454,56,16,63,36482,425,94,17,98,36472
543,40,16,52,36563,517,40,15,50,36537,523,77,16,73,36562
595,37,15,58,36614,567,31,14,54,36583,523,77,16,73,36562
653,46,14,54,36676,621,47,13,60,36645,651,39,14,51,36671
707,36,13,56,36725,681,41,12,53,36702,702,34,13,53,36719
763,48,12,73,36787,734,40,11,56,36754,755,42,12,64,36776
836,69,11,68,36871,847,28,9,49,36861,819,56,11,63,36847
904,38,10,42,36923,896,42,8,91,36917,882,41,10,50,36903
946,26,9,40,36959,896,42,8,91,36917,932,31,9,43,36948
986,24,8,47,36998,896,42,8,91,36917,975,26,8,39,36988
1033,40,7,57,37053,987,109,7,93,37042,1014,25,7,49,37027
1090,45,6,62,37113,1080,46,6,63,37103,1063,43,6,60,37085
1152,50,5,55,37177,1143,48,5,57,37167,1123,51,5,54,37149
1207,31,4,46,37223,1200,36,4,50,37218,1177,29,4,51,37192
1253,33,3,43,37270,1250,35,3,44,37268,1228,46,3,79,37251
1296,25,2,41,37309,1294,26,2,56,37307,1228,46,3,79,37251
1337,27,1,42,37351,1294,26,2,56,37307,1307,86,2,70,37350
1379,26,0,58,37392,1350,54,1,58,37377,1307,86,2,70,37350
1437,61,24,76,37468,13,26,24,52,37466,1425,36,0,56,37443
73,65,23,65,37546,65,45,23,57,37528,41,52,23,79,37507
138,34,22,54,37595,122,34,22,47,37579,41,52,23,79,37507
192,45,21,56,37655,169,28,21,52,37623,120,81,22,77,37601
248,36,20,48,37706,221,44,20,55,37683,243,29,20,48,37698
296,32,19,46,37752,276,32,19,46,37732,243,29,20,48,37698
342,32,18,46,37798,322,31,18,48,37778,291,42,19,51,37752
388,33,17,50,37845,370,35,17,48,37828,342,33,18,46,37799
438,36,16,56,37896,418,31,16,44,37874,433,30,16,54,37888
494,49,15,88,37959,462,27,15,56,37916,487,53,15,61,37954
582,101,14,87,38073,576,29,13,70,38031,596,31,13,51,38052
669,37,13,52,38128,646,77,12,88,38125,647,43,12,55,38109
721,34,12,47,38178,646,77,12,88,38125,702,39,11,74,38162
768,31,11,50,38224,734,71,11,73,38210,702,39,11,74,38162
818,38,10,75,38277,807,43,10,59,38269,776,79,10,69,38256
893,82,9,81,38374,866,45,9,72,38329,905,55,8,80,38373
974,53,8,55,38441,938,66,8,70,38411,905,55,8,80,38373
1029,27,7,46,38483,1008,45,7,57,38471,985,74,7,69,38462
1075,32,6,48,38531,1065,39,6,52,38525,1054,38,6,51,38513
1123,33,5,46,38580,1117,37,5,48,38576,1105,35,5,48,38563
1169,28,4,72,38623,1165,33,4,56,38622,1153,35,4,55,38611
1241,90,3,72,38726,1221,49,3,66,38686,1208,47,3,73,38672
1313,27,2,47,38767,1287,51,2,53,38753,1281,72,2,67,38757
1360,38,1,48,38819,1340,23,1,53,38792,1348,34,1,45,38805
1408,28,0,45,38862,1393,50,0,53,38858,1393,31,0,55,38849
13,35,26,45,38911,6,26,29,40,38899,1393,31,0,55,38849
58,25,25,57,38951,46,23,28,45,38938,8,50,26,82,38913
115,58,24,66,39024,91,36,27,45,38989,90,87,25,73,39014
181,45,23,50,39084,176,27,25,44,39070,163,31,24,49,39059
231,25,22,42,39124,220,30,24,49,39115,212,40,23,48,39112
273,30,21,47,39168,220,30,24,49,39115,260,28,22,44,39154
320,34,20,43,39217,320,31,22,41,39216,304,33,21,46,39201
363,25,19,60,39256,320,31,22,41,39216,350,32,20,44,39246
423,64,18,88,39335,410,34,20,50,39307,437,31,18,44,39333
511,82,17,67,39432,536,10,17,27,39421,481,29,17,85,39376
578,26,16,41,39471,563,28,16,67,39457,481,29,17,85,39376
619,28,15,47,39513,563,28,16,67,39457,566,117,16,97,39505
666,39,14,55,39566,630,77,15,72,39549,566,117,16,97,39505
721,36,13,53,39619,702,39,14,51,39602,717,37,14,52,39616
774,40,12,51,39674,753,34,13,50,39650,769,39,13,49,39669
825,32,11,47,39721,803,43,12,52,39705,818,38,12,51,39717
872,31,10,49,39768,855,35,11,47,39753,869,36,11,47,39767
921,37,9,48,39820,902,30,10,45,39797,916,32,10,48,39812
969,30,8,48,39864,947,32,9,50,39843,916,32,10,48,39812
1017,36,7,48,39915,997,36,8,48,39895,1014,34,8,48,39911
1065,29,6,48,39960,1045,31,7,47,39941,1062,34,7,45,39959
1113,38,5,46,40012,1092,30,6,47,39987,1107,31,6,48,40003
1159,27,4,61,40053,1139,37,5,49,40038,1107,31,6,48,40003
1220,64,3,66,40132,1188,35,4,63,40086,1215,54,4,64,40122
1286,40,2,49,40186,1251,65,3,65,40164,1279,49,3,55,40184
1335,29,1,49,40230,1316,33,2,51,40213,1279,49,3,55,40184
1384,39,0,54,40284,1367,35,1,48,40265,1381,38,1,50,40280
1438,33,25,44,40335,1415,27,0,48,40309,1431,38,0,72,40330
42,27,24,92,40376,23,34,26,49,40360,1431,38,0,72,40330
134,124,23,92,40516,165,24,23,44,40497,133,35,24,46,40471
226,33,22,44,40563,209,32,22,47,40545,225,31,22,57,40561
270,25,21,48,40603,256,29,21,49,40591,225,31,22,57,40561
318,40,20,52,40658,305,38,20,57,40644,282,58,21,68,40631
370,29,19,46,40705,362,44,19,56,40704,350,53,20,53,40697
416,32,18,63,40752,362,44,19,56,40704,403,27,19,43,40737
479,64,17,84,40831,476,50,17,62,40821,446,34,18,61,40783
563,80,16,79,40923,538,42,16,76,40879,571,40,16,49,40911
642,48,15,55,40986,614,78,15,72,40973,620,33,15,51,40957
697,36,14,49,41035,686,39,14,55,41026,671,44,14,53,41013
746,32,13,47,41082,741,37,13,49,41080,724,38,13,54,41063
793,35,12,50,41131,790,36,12,49,41128,778,41,12,48,41119
843,37,11,52,41182,839,34,11,50,41176,826,29,11,45,41161
895,41,10,57,41236,889,39,10,56,41229,871,34,10,54,41208
952,43,9,53,41294,945,45,9,57,41288,925,50,9,58,41270
1005,35,8,51,41343,1002,39,8,47,41342,983,42,8,61,41324
1056,39,7,50,41396,1049,26,7,43,41382,1044,57,7,62,41393
1106,35,6,50,41444,1092,30,6,47,41427,1044,57,7,62,41393
1156,34,5,47,41493,1139,32,5,44,41475,1152,29,5,39,41487
1203,33,4,53,41540,1183,29,4,47,41518,1191,25,4,55,41524
1256,41,3,55,41597,1230,36,3,57,41568,1246,58,3,61,41595
1311,35,2,63,41649,1287,51,2,63,41633,1307,36,2,64,41645
1374,57,1,66,41723,1350,49,1,63,41695,1307,36,2,64,41645
1440,40,0,48,41780,1413,48,0,58,41757,1438,38,0,61,41777
48,25,17,43,41821,31,38,23,55,41810,1438,38,0,61,41777
91,31,16,61,41867,31,38,23,55,41810,59,59,21,73,41849
152,59,15,68,41942,147,52,21,66,41933,132,61,20,59,41923
220,47,14,66,42004,213,53,20,59,42000,191,32,19,92,41967
286,53,13,67,42073,272,33,19,66,42049,191,32,19,92,41967
353,49,12,62,42138,338,66,18,75,42131,283,124,18,104,42105
415,42,11,48,42196,338,66,18,75,42131,387,56,17,59,42175
463,20,10,79,42233,413,53,17,55,42200,446,36,16,59,42224
542,113,9,431,42359,567,24,14,39,42339,559,25,14,57,42332
973,40,8,60,42753,948,53,7,63,42735,912,49,8,60,42697
1033,52,7,61,42819,1011,39,6,60,42791,972,41,7,62,42753
1094,42,6,54,42875,1071,52,5,54,42857,1094,40,5,47,42874
1148,38,5,49,42927,1125,28,4,51,42899,1141,29,4,46,42916
1197,33,4,48,42974,1176,41,3,56,42957,1187,31,3,76,42963
1245,38,3,65,43024,1232,38,2,50,43011,1187,31,3,76,42963
1310,66,2,62,43103,1327,28,0,220,43101,1263,94,2,82,43070
1372,28,1,41,43146,1327,28,0,220,43101,1345,44,1,52,43127
1413,26,0,43,43186,1327,28,0,220,43101,1397,33,0,43,43174
16,34,13,50,43233,1327,28,0,220,43101,0,26,27,44,43213
66,38,12,49,43285,1327,28,0,220,43101,44,34,26,47,43261
115,33,11,74,43332,1327,28,0,220,43101,91,34,25,61,43308
189,86,10,72,43432,195,29,25,49,43410,211,29,23,47,43426
261,30,9,54,43476,244,38,24,50,43463,211,29,23,47,43426
315,53,8,59,43542,294,37,23,57,43513,309,40,21,55,43529
374,33,7,52,43591,351,45,22,50,43574,364,45,20,53,43587
426,41,6,48,43647,401,30,21,50,43616,417,35,19,81,43635
474,27,5,72,43688,451,42,20,59,43672,417,35,19,81,43635
546,88,4,85,43790,559,28,18,45,43773,498,98,18,106,43747
631,44,3,60,43853,604,31,17,54,43820,604,84,17,78,43846
691,50,2,61,43916,658,49,16,62,43883,682,44,16,62,43904
752,42,1,681,43973,720,44,15,64,43942,744,50,15,60,43969
1433,34,0,53,44650,1410,42,0,45,44631,1380,26,0,49,44593
46,40,22,48,44706,15,19,23,50,44665,28,25,25,62,44681
94,25,21,69,44747,65,51,22,58,44731,28,25,25,62,44681
163,85,20,68,44846,172,30,20,68,44827,148,23,23,51,44800
231,24,19,53,44883,172,30,20,68,44827,199,51,22,69,44865
284,56,18,63,44952,240,79,19,73,44920,268,57,21,64,44937
347,44,17,57,45009,313,36,18,53,44971,332,40,20,52,44992
404,42,16,48,45065,366,40,17,52,45026,384,35,19,50,45042
452,24,15,84,45104,418,32,16,56,45074,434,36,18,56,45092
536,117,14,90,45235,529,28,14,114,45183,542,29,16,49,45197
626,35,13,81,45284,529,28,14,114,45183,591,40,15,56,45251
707,97,12,89,45396,643,175,13,117,45371,698,29,13,66,45353
796,50,11,64,45461,760,31,12,54,45416,764,77,12,72,45443
860,51,10,63,45526,814,50,11,64,45479,836,38,11,58,45495
923,47,9,56,45587,878,49,10,62,45543,894,51,10,63,45560
979,38,8,50,45638,940,46,9,56,45603,957,47,9,52,45621
1029,34,7,51,45686,996,34,8,51,45653,1009,30,8,51,45664
1080,43,6,52,45742,1047,40,7,51,45707,1060,42,7,54,45721
1132,32,5,40,45788,1098,34,6,47,45755,1114,37,6,46,45773
1172,25,4,56,45825,1145,33,5,54,45802,1160,24,5,54,45812
1228,62,3,63,45899,1199,44,4,55,45861,1214,56,4,62,45882
1291,35,2,51,45949,1254,35,3,54,45912,1276,41,3,52,45937
1342,37,1,55,46001,1308,42,2,51,45969,1328,36,2,55,45986
1397,44,0,80,46059,1359,31,1,53,46015,1383,47,1,53,46047
37,87,11,81,46161,28,32,15,54,46124,53,47,13,47,46157
118,44,10,56,46220,82,50,14,55,46187,100,35,12,51,46198
174,39,9,51,46274,137,28,13,50,46231,151,38,11,54,46250
225,33,8,48,46322,187,41,12,53,46288,205,43,10,55,46307
273,37,7,82,46372,240,34,11,48,46337,260,38,9,50,46359
355,97,6,82,46484,349,56,9,57,46457,365,50,7,55,46470
437,35,5,84,46535,406,33,8,45,46503,420,31,6,63,46516
521,101,4,90,46652,503,50,6,67,46608,546,25,4,55,46639
611,51,3,65,46717,570,59,5,69,46680,601,57,3,99,46710
676,49,2,72,46781,639,55,4,66,46747,601,57,3,99,46710
748,64,1,77,46860,705,50,3,65,46810,700,111,2,94,46836
825,58,0,139,46934,826,29,1,47,46921,794,44,1,57,46896
964,68,6,61,47078,949,67,7,61,47063,922,63,8,92,47034
1025,27,5,47,47119,1010,26,6,47,47103,922,63,8,92,47034
1072,38,4,57,47171,1057,43,5,61,47159,1014,92,7,75,47140
1129,50,3,91,47234,1118,47,4,51,47222,1089,28,6,54,47183
1220,104,2,100,47352,1220,52,2,63,47326,1210,52,4,59,47316
1320,65,1,78,47433,1283,48,1,69,47387,1319,33,2,52,47416
1398,62,0,77,47509,1352,78,0,105,47471,1371,40,1,48,47471
35,64,23,73,47587,1352,78,0,105,47471,1419,27,0,93,47513
108,49,22,54,47653,100,27,24,39,47634,72,34,14,575,47609
162,28,21,43,47696,139,24,23,40,47671,72,34,14,575,47609
205,28,20,46,47739,179,25,22,43,47712,72,34,14,575,47609
251,35,19,44,47789,222,32,21,48,47758,72,34,14,575,47609
295,23,18,39,47827,270,41,20,45,47811,72,34,14,575,47609
334,24,17,37,47866,315,24,19,35,47847,72,34,14,575,47609
371,27,16,41,47905,350,23,18,38,47882,72,34,14,575,47609
412,24,15,35,47944,388,25,17,44,47921,72,34,14,575,47609
447,23,14,50,47979,432,34,16,52,47969,72,34,14,575,47609
497,48,13,52,48041,484,46,15,51,48027,72,34,14,575,47609
549,32,12,51,48085,535,26,14,39,48068,72,34,14,575,47609
600,42,11,74,48141,574,25,13,44,48107,72,34,14,575,47609
674,79,10,82,48234,618,32,12,78,48154,647,48,13,59,48191
756,55,9,61,48304,696,97,11,86,48265,755,26,11,52,48288
817,36,8,48,48355,782,43,10,52,48324,807,46,10,71,48350
865,30,7,52,48400,834,32,9,79,48370,807,46,10,71,48350
917,40,6,58,48457,834,32,9,79,48370,878,85,9,80,48441
975,44,5,61,48517,913,96,8,81,48481,958,42,8,58,48499
1036,47,4,73,48580,994,39,7,64,48534,1016,52,7,65,48562
1109,69,3,72,48664,1116,26,5,45,48649,1081,49,6,62,48626
1181,42,2,56,48722,1161,35,4,63,48699,1143,46,5,64,48686
1237,55,1,67,48785,1224,60,3,59,48774,1207,55,4,59,48755
1304,53,0,167,48851,1283,26,2,61,48816,1266,33,3,54,48803
31,32,22,53,49007,23,44,27,49,49005,1426,45,0,62,48969
84,48,21,62,49068,72,32,26,45,49048,48,48,24,72,49032
146,50,20,62,49131,117,27,25,54,49091,120,70,23,71,49115
208,48,19,60,49192,171,50,24,60,49156,191,44,22,58,49173
268,43,18,54,49250,231,41,23,60,49212,249,42,21,59,49230
322,33,17,55,49299,291,48,22,58,49275,308,50,20,59,49293
377,47,16,60,49361,349,38,21,57,49328,367,41,19,55,49348
437,45,15,74,49420,406,45,20,58,49389,422,40,18,63,49402
511,72,14,68,49507,512,35,18,49,49490,485,54,17,60,49472
579,36,13,52,49557,561,35,17,44,49539,545,38,16,61,49524
631,40,12,58,49611,605,30,16,45,49580,606,56,15,59,49594
689,53,11,67,49676,650,33,15,56,49627,665,33,14,52,49642
756,54,10,80,49743,754,29,13,46,49729,717,43,13,61,49699
836,79,9,69,49836,845,27,11,61,49819,829,22,11,47,49800
905,29,8,47,49880,845,27,11,61,49819,876,44,10,57,49858
952,36,7,47,49930,906,68,10,66,49900,933,43,9,51,49915
999,32,6,45,49975,972,34,9,47,49949,984,31,8,47,49960
1044,33,5,48,50021,1019,27,8,42,49993,1031,33,7,45,50008
1092,35,4,46,50070,1061,28,7,45,50035,1076,29,6,46,50051
1138,29,3,51,50113,1106,35,6,52,50084,1122,33,5,45,50099
1189,44,2,100,50171,1158,38,5,62,50137,1167,29,4,62,50142
1289,125,1,94,50312,1320,30,2,47,50295,1297,43,2,53,50279
1383,32,0,49,50359,1367,34,1,49,50344,1350,37,1,76,50329
