T,P,L,S,M
518,33,14,57,9175
628,26,12,50,9281
678,47,11,62,9342
740,48,10,64,9404
804,53,9,69,9471
873,56,8,65,9541
938,47,7,85,9602
938,47,7,85,9602
1023,92,6,78,9709
1101,34,5,52,9758
1153,40,4,52,9813
1267,53,2,75,9934
1342,66,1,78,10015
1420,59,0,71,10090
51,50,25,66,10156
117,49,24,71,10222
117,49,24,71,10222
188,60,23,67,10298
255,43,22,53,10357
308,29,21,49,10403
357,36,20,47,10455
404,26,19,67,10497
471,79,18,74,10591
545,43,17,59,10647
604,53,16,65,10711
669,47,15,53,10773
722,33,14,49,10819
771,39,13,48,10871
819,34,12,52,10916
871,43,11,49,10973
920,31,10,44,11016
964,28,9,41,11058
1005,29,8,51,11100
1056,45,7,54,11159
1110,33,6,42,11207
1152,26,5,45,11245
1299,24,2,43,11391
1342,31,1,46,11438
1388,33,0,47,11485
100,27,25,44,11634
144,32,24,55,11680
199,48,23,54,11743
253,32,22,47,11789
300,33,21,48,11837
348,35,20,49,11886
397,34,19,43,11934
440,24,18,54,11972
554,32,16,46,12090
600,29,15,50,12135
650,39,14,47,12190
697,25,13,46,12230
743,34,12,56,12280
799,48,11,55,12343
854,33,10,50,12391
904,33,9,55,12441
959,45,8,52,12502
1011,29,7,49,12546
1060,37,6,47,12599
1107,33,5,56,12644
1222,33,3,57,12759
1279,53,2,56,12826
1335,41,1,60,12876
1395,56,0,57,12943
12,38,21,46,12991
58,32,20,75,13034
133,94,19,78,13140
211,39,18,52,13191
263,40,17,53,13243
316,39,16,55,13296
371,42,15,49,13352
420,33,14,62,13397
482,64,13,64,13474
546,36,12,60,13524
606,54,11,64,13593
670,45,10,61,13653
731,44,9,64,13713
795,55,8,60,13783
907,31,6,40,13883
992,36,4,58,13970
1050,56,3,56,14038
1106,39,2,48,14086
1154,30,1,73,14129
1227,88,0,457,14231
1227,88,0,457,14231
1227,88,0,457,14231
1227,88,0,457,14231
1227,88,0,457,14231
1227,88,0,457,14231
1227,88,0,457,14231
290,28,23,46,14704
378,26,21,45,14791
423,37,20,52,14842
475,41,19,53,14896
528,37,18,56,14947
584,46,17,53,15007
637,29,16,48,15052
685,34,15,46,15102
731,29,14,56,15146
787,51,13,54,15213
841,28,12,46,15255
887,34,11,46,15304
933,30,10,47,15348
980,32,9,47,15396
1027,32,8,48,15443
1075,34,7,45,15492
1120,28,6,42,15534
1206,35,4,55,15624
1261,45,3,52,15684
1313,26,2,51,15726
1364,44,1,73,15786
1437,72,0,68,15873
248,30,21,91,16103
339,120,20,90,16239
429,30,19,43,16284
472,29,18,45,16327
517,32,17,49,16373
566,34,16,51,16423
617,39,15,49,16477
666,37,14,52,16525
718,36,13,68,16576
718,36,13,68,16576
786,72,12,64,16662
850,27,11,48,16704
898,40,10,50,16758
948,33,9,45,16805
993,29,8,46,16848
1039,30,7,48,16894
1087,36,6,47,16945
1134,25,5,47,16987
1236,42,3,53,17097
1289,33,2,61,17146
1350,57,1,60,17219
1410,33,0,50,17267
99,88,24,78,17423
177,37,23,54,17476
231,36,22,51,17529
282,35,21,49,17580
331,30,20,44,17626
375,27,19,45,17669
420,29,18,49,17715
469,35,17,50,17767
519,30,16,52,17814
571,45,15,50,17874
621,23,14,46,17913
667,37,13,53,17966
720,39,12,57,18020
777,43,11,69,18079
846,62,10,69,18157
915,45,9,54,18218
969,31,8,46,18265
1015,31,7,57,18311
1134,44,5,53,18436
1187,32,4,50,18483
1237,39,3,64,18537
1301,56,2,60,18609
1361,33,1,49,18658
1410,34,0,48,18707
18,30,26,48,18753
66,36,25,51,18804
117,40,24,57,18857
220,25,22,47,18953
267,40,21,51,19007
318,35,20,53,19056
371,41,19,53,19112
424,33,18,44,19161
512,35,16,52,19250
564,38,15,60,19303
624,54,14,64,19371
688,44,13,56,19430
744,40,12,71,19484
815,72,11,64,19571
879,26,10,54,19612
995,38,8,51,19734
1046,30,7,50,19781
1046,30,7,50,19781
1145,30,5,49,19880
1194,39,4,57,19934
1251,42,3,60,19992
1311,46,2,55,20054
1366,34,1,48,20103
1414,33,0,48,20151
22,30,28,49,20197
71,38,27,50,20250
121,28,26,44,20295
121,28,26,44,20295
209,29,24,45,20384
254,31,23,46,20430
300,28,22,46,20474
346,33,21,45,20523
391,27,20,44,20565
435,31,19,47,20611
482,32,18,52,20658
534,41,17,54,20715
588,32,16,47,20764
635,30,15,44,20810
679,27,14,51,20853
730,44,13,49,20912
779,23,12,46,20951
825,37,11,70,21004
895,70,10,67,21090
962,32,9,48,21138
1010,33,8,48,21187
1058,32,7,47,21234
1105,28,6,41,21279
1146,26,5,40,21319
1186,27,4,52,21360
1238,46,3,66,21421
1304,56,2,67,21492
1371,46,1,52,21554
1423,28,0,54,21597
37,51,22,52,21663
89,24,21,41,21701
130,28,20,43,21744
173,29,19,39,21788
253,28,17,47,21867
300,37,16,60,21919
300,37,16,60,21919
417,28,14,44,22031
461,35,13,54,22079
571,26,11,47,22184
671,34,9,51,22288
722,46,8,56,22345
778,37,7,59,22397
837,49,6,65,22462
902,49,5,57,22527
959,42,4,51,22580
1010,38,3,49,22629
1059,32,2,47,22675
1106,31,1,47,22722
1153,32,0,342,22769
1153,32,0,342,22769
1153,32,0,342,22769
1153,32,0,342,22769
1153,32,0,342,22769
1153,32,0,342,22769
1153,32,0,342,22769
1153,32,0,342,22769
55,32,26,45,23111
100,26,25,43,23153
143,28,24,43,23197
186,26,23,42,23239
268,24,21,44,23320
312,32,20,46,23368
358,28,19,44,23412
358,28,19,44,23412
402,28,18,43,23456
489,26,16,48,23542
537,42,15,53,23598
590,36,14,60,23648
650,54,13,54,23717
704,25,12,46,23757
750,38,11,78,23809
750,38,11,78,23809
828,86,10,71,23911
899,30,9,53,23954
899,30,9,53,23954
1005,32,7,44,24061
1005,32,7,44,24061
1049,31,6,67,24105
1116,72,5,62,24192
1116,72,5,62,24192
1226,44,3,52,24288
1278,31,2,48,24334
1326,34,1,58,24383
1384,52,0,59,24450
3,39,23,47,24503
50,27,22,45,24544
50,27,22,45,24544
139,26,20,43,24632
139,26,20,43,24632
228,30,18,45,24723
273,31,17,46,24769
319,30,16,44,24814
363,30,15,43,24858
406,28,14,48,24900
406,28,14,48,24900
503,28,12,59,24997
503,28,12,59,24997
619,22,10,43,25110
758,36,7,48,25256
806,27,6,53,25300
859,44,5,58,25361
917,40,4,57,25417
974,41,3,326,25475
974,41,3,326,25475
974,41,3,326,25475
974,41,3,326,25475
974,41,3,326,25475
1343,29,1,73,25838
1343,29,1,73,25838
1416,89,0,78,25941
54,34,18,77,25991
54,34,18,77,25991
131,87,17,72,26095
203,27,16,43,26137
246,29,15,48,26181
294,34,14,54,26231
348,43,13,51,26290
399,27,12,44,26333
443,31,11,48,26379
491,33,10,46,26428
537,25,9,53,26470
590,49,8,100,26535
590,49,8,100,26535
690,120,7,93,26670
783,42,6,88,26724
783,42,6,88,26724
871,105,5,92,26844
963,46,4,117,26906
963,46,4,117,26906
963,46,4,117,26906
963,46,4,117,26906
1080,160,3,145,27080
1080,160,3,145,27080
1225,99,2,112,27195
1225,99,2,112,27195
1337,91,1,81,27303
1418,40,0,93,27358
1418,40,0,93,27358
71,114,19,84,27488
198,28,17,45,27572
243,33,16,56,27620
299,50,15,59,27684
358,38,14,62,27737
420,54,13,67,27807
487,53,12,66,27874
553,49,11,293,27938
553,49,11,293,27938
553,49,11,293,27938
553,49,11,293,27938
553,49,11,293,27938
846,42,10,77,28227
1390,41,0,50,28771
0,21,25,52,28811
52,47,24,63,28876
115,44,23,57,28937
172,34,22,50,28989
222,36,21,80,29040
222,36,21,80,29040
302,88,20,77,29146
379,34,19,43,29196
422,23,18,46,29234
468,35,17,59,29286
527,51,16,59,29353
586,39,15,54,29406
640,28,14,43,29454
683,25,13,43,29496
726,28,12,70,29540
726,28,12,70,29540
796,79,11,87,29636
883,62,10,63,29714
946,39,9,48,29766
1240,48,3,57,30064
1297,34,2,48,30114
1345,35,1,50,30163
1395,35,0,50,30213
5,33,25,51,30262
56,36,24,47,30314
103,29,23,45,30358
148,32,22,42,30404
190,25,21,41,30443
231,28,20,64,30485
295,70,19,66,30570
361,30,18,49,30616
410,39,17,52,30670
462,32,16,69,30718
531,74,15,73,30808
604,38,14,63,30863
667,59,13,65,30937
782,30,11,45,31037
827,31,10,71,31083
827,31,10,71,31083
827,31,10,71,31083
898,79,9,75,31178
1022,32,7,50,31278
1072,39,6,63,31332
1135,56,5,62,31403
1197,37,4,49,31456
1246,29,3,47,31501
1293,32,2,54,31549
1347,42,1,61,31608
1408,50,0,56,31673
24,30,21,55,31719
79,49,20,53,31784
132,24,19,42,31824
174,30,18,48,31869
222,32,17,50,31918
367,30,14,44,32062
411,29,13,46,32106
457,30,12,55,32152
569,28,10,291,32263
569,28,10,291,32263
569,28,10,291,32263
569,28,10,291,32263
860,61,9,60,32571
920,27,8,47,32614
967,35,7,49,32665
1016,31,6,48,32712
1064,30,5,46,32759
1110,31,4,48,32806
1158,33,3,105,32855
1158,33,3,105,32855
1158,33,3,105,32855
1158,33,3,105,32855
1357,33,1,48,33054
1405,33,0,104,33102
1405,33,0,104,33102
176,40,23,60,33316
236,53,22,73,33383
309,67,21,69,33463
378,43,20,57,33520
490,37,18,48,33629
581,26,16,49,33714
630,42,15,61,33771
630,42,15,61,33771
691,53,14,62,33838
753,42,13,55,33894
808,40,12,72,33948
880,75,11,68,34038
948,29,10,47,34083
948,29,10,47,34083
1043,30,8,47,34178
1090,34,7,43,34227
1133,27,6,44,34267
1225,42,4,53,34366
1278,32,3,50,34414
1328,40,2,55,34468
1383,40,1,50,34523
1433,32,0,45,34569
38,28,26,41,34612
79,22,25,47,34650
126,40,24,51,34706
177,32,23,46,34753
223,35,22,47,34801
270,31,21,47,34846
317,35,20,44,34895
361,27,19,49,34935
410,45,18,51,34993
500,26,16,49,35073
600,31,14,64,35176
664,68,13,69,35258
779,27,11,44,35353
823,33,10,55,35400
878,49,9,59,35463
937,38,8,56,35516
937,38,8,56,35516
1044,28,6,47,35618
1044,28,6,47,35618
1091,38,5,50,35670
1188,32,3,57,35764
1245,58,2,65,35834
1310,45,1,54,35893
1364,33,0,78,35941
2,92,23,75,36048
77,30,22,49,36092
126,38,21,76,36145
126,38,21,76,36145
202,84,20,75,36244
277,36,19,49,36295
326,33,18,58,36343
326,33,18,58,36343
454,56,16,63,36482
517,40,15,50,36537
567,31,14,54,36583
621,47,13,60,36645
681,41,12,53,36702
734,40,11,56,36754
847,28,9,49,36861
896,42,8,91,36917
896,42,8,91,36917
896,42,8,91,36917
987,109,7,93,37042
1080,46,6,63,37103
1143,48,5,57,37167
1200,36,4,50,37218
1250,35,3,44,37268
1294,26,2,56,37307
1294,26,2,56,37307
1350,54,1,58,37377
13,26,24,52,37466
65,45,23,57,37528
122,34,22,47,37579
169,28,21,52,37623
221,44,20,55,37683
276,32,19,46,37732
322,31,18,48,37778
370,35,17,48,37828
418,31,16,44,37874
462,27,15,56,37916
576,29,13,70,38031
646,77,12,88,38125
646,77,12,88,38125
734,71,11,73,38210
807,43,10,59,38269
866,45,9,72,38329
938,66,8,70,38411
1008,45,7,57,38471
1065,39,6,52,38525
1117,37,5,48,38576
1165,33,4,56,38622
1221,49,3,66,38686
1287,51,2,53,38753
1340,23,1,53,38792
1393,50,0,53,38858
6,26,29,40,38899
46,23,28,45,38938
91,36,27,45,38989
176,27,25,44,39070
220,30,24,49,39115
220,30,24,49,39115
320,31,22,41,39216
320,31,22,41,39216
410,34,20,50,39307
536,10,17,27,39421
563,28,16,67,39457
563,28,16,67,39457
630,77,15,72,39549
702,39,14,51,39602
753,34,13,50,39650
803,43,12,52,39705
855,35,11,47,39753
902,30,10,45,39797
947,32,9,50,39843
997,36,8,48,39895
1045,31,7,47,39941
1092,30,6,47,39987
1139,37,5,49,40038
1188,35,4,63,40086
1251,65,3,65,40164
1316,33,2,51,40213
1367,35,1,48,40265
1415,27,0,48,40309
23,34,26,49,40360
165,24,23,44,40497
209,32,22,47,40545
256,29,21,49,40591
305,38,20,57,40644
362,44,19,56,40704
362,44,19,56,40704
476,50,17,62,40821
538,42,16,76,40879
614,78,15,72,40973
686,39,14,55,41026
741,37,13,49,41080
790,36,12,49,41128
839,34,11,50,41176
889,39,10,56,41229
945,45,9,57,41288
1002,39,8,47,41342
1049,26,7,43,41382
1092,30,6,47,41427
1139,32,5,44,41475
1183,29,4,47,41518
1230,36,3,57,41568
1287,51,2,63,41633
1350,49,1,63,41695
1413,48,0,58,41757
31,38,23,55,41810
31,38,23,55,41810
147,52,21,66,41933
213,53,20,59,42000
272,33,19,66,42049
338,66,18,75,42131
338,66,18,75,42131
413,53,17,55,42200
567,24,14,39,42339
948,53,7,63,42735
1011,39,6,60,42791
1071,52,5,54,42857
1125,28,4,51,42899
1176,41,3,56,42957
1232,38,2,50,43011
1327,28,0,220,43101
1327,28,0,220,43101
1327,28,0,220,43101
1327,28,0,220,43101
1327,28,0,220,43101
1327,28,0,220,43101
195,29,25,49,43410
244,38,24,50,43463
294,37,23,57,43513
351,45,22,50,43574
401,30,21,50,43616
451,42,20,59,43672
559,28,18,45,43773
604,31,17,54,43820
658,49,16,62,43883
720,44,15,64,43942
1410,42,0,45,44631
15,19,23,50,44665
65,51,22,58,44731
172,30,20,68,44827
172,30,20,68,44827
240,79,19,73,44920
313,36,18,53,44971
366,40,17,52,45026
418,32,16,56,45074
529,28,14,114,45183
529,28,14,114,45183
643,175,13,117,45371
760,31,12,54,45416
814,50,11,64,45479
878,49,10,62,45543
940,46,9,56,45603
996,34,8,51,45653
1047,40,7,51,45707
1098,34,6,47,45755
1145,33,5,54,45802
1199,44,4,55,45861
1254,35,3,54,45912
1308,42,2,51,45969
1359,31,1,53,46015
28,32,15,54,46124
82,50,14,55,46187
137,28,13,50,46231
187,41,12,53,46288
240,34,11,48,46337
349,56,9,57,46457
406,33,8,45,46503
503,50,6,67,46608
570,59,5,69,46680
639,55,4,66,46747
705,50,3,65,46810
826,29,1,47,46921
949,67,7,61,47063
1010,26,6,47,47103
1057,43,5,61,47159
1118,47,4,51,47222
1220,52,2,63,47326
1283,48,1,69,47387
1352,78,0,105,47471
1352,78,0,105,47471
100,27,24,39,47634
139,24,23,40,47671
179,25,22,43,47712
222,32,21,48,47758
270,41,20,45,47811
315,24,19,35,47847
350,23,18,38,47882
388,25,17,44,47921
432,34,16,52,47969
484,46,15,51,48027
535,26,14,39,48068
574,25,13,44,48107
618,32,12,78,48154
696,97,11,86,48265
782,43,10,52,48324
834,32,9,79,48370
834,32,9,79,48370
913,96,8,81,48481
994,39,7,64,48534
1116,26,5,45,48649
1161,35,4,63,48699
1224,60,3,59,48774
1283,26,2,61,48816
23,44,27,49,49005
72,32,26,45,49048
117,27,25,54,49091
171,50,24,60,49156
231,41,23,60,49212
291,48,22,58,49275
349,38,21,57,49328
406,45,20,58,49389
512,35,18,49,49490
561,35,17,44,49539
605,30,16,45,49580
650,33,15,56,49627
754,29,13,46,49729
845,27,11,61,49819
845,27,11,61,49819
906,68,10,66,49900
972,34,9,47,49949
1019,27,8,42,49993
1061,28,7,45,50035
1106,35,6,52,50084
1158,38,5,62,50137
1320,30,2,47,50295
1367,34,1,49,50344
1416,31,0,50,50392
26,38,26,48,50445
74,28,25,47,50488
121,38,24,52,50540
173,39,23,54,50593
227,41,22,50,50648
322,33,20,60,50739
382,56,19,46,50810
428,24,18,48,50840
528,36,16,48,50946
799,31,11,53,51215
852,44,10,53,51274
905,34,9,53,51322
958,43,8,54,51380
1012,36,7,52,51430
1064,38,6,47,51483
1111,30,5,44,51526
1155,30,4,58,51570
1213,56,3,66,51641
1279,48,2,49,51703
1328,23,1,47,51740
1375,43,0,83,51797
1375,43,0,83,51797
18,95,24,79,51906
97,31,23,47,51953
144,32,22,47,52000
191,29,21,45,52046
236,31,20,53,52092
289,43,19,50,52151
339,29,18,47,52194
386,38,17,54,52245
440,44,16,55,52302
495,40,15,51,52355
546,35,14,49,52404
595,33,13,51,52452
646,41,12,71,52507
782,27,10,47,52636
829,37,9,57,52688
886,42,8,57,52747
943,40,7,55,52803
998,38,6,59,52857
1057,49,5,53,52922
1158,41,3,65,53019
1223,58,2,74,53092
1297,64,1,72,53169
