T,P,L,S,M
103,53,14,71,130
174,66,13,71,207
245,48,12,51,269
296,26,11,51,309
347,50,10,57,372
404,34,9,58,421
462,54,8,60,489
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
569,28,6,560,583
1129,31,5,66,1145
1195,69,4,67,1230
1311,37,2,57,1330
1368,46,1,63,1391
1431,50,0,58,1456
49,36,25,52,1507
101,40,24,53,1561
154,39,23,48,1614
202,30,22,49,1657
251,39,21,54,1711
305,40,20,48,1765
353,26,19,44,1806
397,36,18,43,1855
440,27,17,59,1894
499,63,16,68,1971
567,41,15,58,2028
625,43,14,64,2087
689,53,13,71,2156
760,58,12,62,2229
822,32,11,51,2278
924,29,9,46,2379
970,30,8,55,2425
1025,47,7,55,2489
1080,30,6,45,2535
1125,30,5,48,2580
1173,37,4,55,2632
1228,41,3,59,2689
1287,45,2,50,2750
1337,25,1,47,2790
1384,36,0,54,2842
1438,43,24,55,2900
53,40,23,55,2953
108,37,22,52,3007
160,35,21,47,3058
207,28,20,50,3101
257,40,19,49,3157
306,33,18,47,3203
353,42,17,55,3254
408,37,16,50,3307
458,32,15,52,3354
510,43,14,54,3412
564,37,13,113,3463
564,37,13,113,3463
564,37,13,113,3463
677,160,12,110,3637
787,30,11,50,3682
837,38,10,63,3736
900,56,9,59,3808
959,32,8,53,3855
1012,48,7,53,3916
1065,35,6,51,3963
1116,32,5,67,4012
1183,70,4,65,4098
1248,29,3,46,4143
1294,37,2,52,4193
1346,34,1,50,4243
4,26,26,49,4337
53,40,25,54,4393
107,36,24,72,4445
107,36,24,72,4445
179,79,23,71,4539
250,30,22,44,4585
294,31,21,47,4630
341,30,20,44,4676
385,28,19,45,4719
430,35,18,52,4768
482,40,17,57,4822
539,46,16,50,4882
589,39,15,54,4929
643,47,14,65,4987
708,56,13,60,5056
768,41,12,55,5109
823,43,11,58,5165
881,50,10,56,5226
937,37,9,51,5276
988,40,8,48,5328
1036,35,7,49,5374
1085,40,6,51,5425
1136,38,5,49,5475
1185,34,4,52,5522
1237,45,3,54,5580
1291,32,2,52,5627
1343,44,1,53,5685
1396,33,0,52,5733
8,40,27,50,5788
58,33,26,67,5835
58,33,26,67,5835
189,27,24,43,5963
232,31,23,48,6008
280,39,22,51,6060
374,27,20,45,6148
419,33,19,50,6196
469,36,18,80,6247
469,36,18,80,6247
549,95,17,91,6357
699,31,15,44,6475
743,31,14,48,6519
791,36,13,46,6569
837,38,12,53,6616
890,49,11,59,6675
949,42,10,48,6730
997,38,9,54,6776
1051,29,8,41,6826
1092,39,7,51,6872
1143,33,6,48,6920
1191,37,5,50,6970
1291,35,3,44,7069
1377,29,1,63,7152
1377,29,1,63,7152
1440,70,0,65,7235
65,36,25,47,7283
112,33,24,48,7329
160,29,23,43,7375
203,28,22,49,7417
252,42,21,46,7473
298,28,20,51,7512
349,48,19,50,7573
399,31,18,41,7615
440,26,17,57,7653
497,63,16,62,7729
559,29,15,57,7774
616,52,14,62,7842
678,45,13,57,7901
785,26,11,57,7998
842,59,10,68,8072
910,44,9,60,8132
970,43,8,67,8192
1037,57,7,60,8266
1097,43,6,52,8319
1149,30,5,49,8364
1198,38,4,55,8417
1253,38,3,58,8472
1311,44,2,65,8533
1376,56,1,61,8604
1437,36,0,51,8655
92,23,22,59,8744
151,62,21,66,8822
217,44,20,50,8879
267,29,19,44,8922
311,29,18,53,8966
364,42,17,52,9025
416,31,16,51,9072
467,41,15,51,9128
