T,P,L,S,M
796,31,11,46,16652
842,33,10,45,16699
887,28,9,49,16741
936,40,8,63,16796
999,56,7,58,16867
1057,30,6,48,16912
1105,36,5,45,16963
1150,27,4,59,17004
1209,61,3,64,17080
1273,43,2,57,17135
1330,47,1,56,17194
1386,41,0,54,17247
112,40,24,53,17412
165,38,23,50,17464
215,35,22,52,17513
267,40,21,48,17567
315,31,20,46,17611
361,34,19,44,17658
405,31,18,48,17701
453,41,17,59,17754
512,50,16,58,17817
570,38,15,69,17869
570,38,15,69,17869
639,72,14,63,17955
702,28,13,47,17996
749,39,12,57,18049
856,24,10,47,18148
903,38,9,50,18202
953,34,8,47,18250
1000,32,7,53,18296
1113,47,5,74,18417
1187,71,4,68,18503
1255,39,3,46,18555
1301,26,2,43,18594
1344,35,1,53,18642
1397,43,0,50,18699
41,25,23,45,18774
86,39,22,48,18826
134,31,21,51,18870
185,45,20,49,18928
234,27,19,48,18968
282,44,18,55,19024
391,40,16,50,19131
391,40,16,50,19131
541,31,13,46,19277
587,32,12,61,19323
587,32,12,61,19323
648,63,11,71,19400
719,49,10,75,19464
794,70,9,103,19549
794,70,9,103,19549
988,44,7,72,19730
988,44,7,72,19730
1060,72,6,65,19816
1125,28,5,52,19859
1177,49,4,60,19922
1237,41,3,48,19978
1285,24,2,55,20017
1340,60,1,59,20090
1399,30,0,46,20134
5,35,28,49,20183
54,39,27,51,20234
105,34,26,46,20282
151,30,25,43,20326
194,32,24,43,20370
237,27,23,45,20411
282,37,22,49,20461
331,32,21,45,20507
376,33,20,46,20553
422,33,19,46,20599
468,33,18,52,20645
520,49,17,54,20705
574,30,16,48,20749
622,39,15,74,20802
622,39,15,74,20802
696,82,14,84,20897
780,60,13,62,20970
887,25,11,45,21060
887,25,11,45,21060
979,32,9,45,21155
1024,29,8,46,21199
1070,33,7,48,21247
1070,33,7,48,21247
1162,26,5,43,21335
1205,35,4,56,21383
1261,51,3,60,21447
1321,38,2,54,21500
1375,43,1,56,21557
1431,41,0,58,21612
49,44,28,52,21671
101,31,27,45,21717
146,29,26,50,21761
196,42,25,48,21817
280,21,23,38,21891
318,25,22,41,21931
359,28,21,42,21973
401,27,20,46,22015
447,35,19,49,22065
589,26,16,52,22202
641,52,15,64,22267
705,51,14,57,22331
762,39,13,53,22382
815,43,12,66,22437
881,64,11,63,22513
944,37,10,49,22563
993,34,9,48,22610
1041,37,8,47,22660
1088,35,7,49,22706
1137,35,6,49,22755
1186,34,5,51,22803
1237,44,4,49,22859
1286,26,3,40,22899
1326,26,2,39,22939
1365,23,1,41,22977
1406,29,0,51,23021
1406,29,0,51,23021
70,32,25,44,23126
70,32,25,44,23126
157,25,23,50,23210
207,45,22,71,23270
207,45,22,71,23270
278,67,21,64,23352
342,37,20,46,23401
388,27,19,41,23442
429,35,18,64,23487
493,67,17,64,23567
557,33,16,51,23614
608,41,15,46,23669
654,26,14,54,23707
654,26,14,54,23707
708,58,13,71,23777
779,57,12,58,23848
837,30,11,47,23892
884,37,10,51,23943
935,36,9,50,23993
985,39,8,50,24045
1035,32,7,44,24091
1079,31,6,43,24135
1122,29,5,43,24177
1165,31,4,73,24221
1165,31,4,73,24221
1238,87,3,76,24322
1314,37,2,54,24373
1368,46,1,58,24431
1426,44,0,52,24488
38,33,23,45,24535
83,28,22,43,24577
126,32,21,43,24622
169,29,20,44,24664
213,33,19,47,24710
260,32,18,44,24756
304,33,17,46,24801
350,30,16,43,24845
393,32,15,42,24889
435,31,14,64,24931
499,69,13,129,25014
499,69,13,129,25014
499,69,13,129,25014
735,30,11,67,25230
802,81,10,73,25323
875,40,9,62,25375
875,40,9,62,25375
937,58,8,65,25446
1054,34,6,51,25551
1105,41,5,55,25606
1160,49,4,62,25665
1222,46,3,79,25725
1301,85,2,74,25824
1375,34,1,52,25872
1427,43,0,51,25929
38,33,16,53,25975
91,47,15,52,26035
